Frame: 41020, Time: 02:17:53
Frame: 41022, Time: 02:17:53
Frame: 41023, Time: 02:17:54
Frame: 41024, Time: 02:17:54
Frame: 41025, Time: 02:17:54
Frame: 41026, Time: 02:17:54
Frame: 41027, Time: 02:17:54
Frame: 41028, Time: 02:17:55
Frame: 41029, Time: 02:17:55
Frame: 41030, Time: 02:17:55
Frame: 41031, Time: 02:17:55
Frame: 41032, Time: 02:17:55
Frame: 41033, Time: 02:17:56
Frame: 41034, Time: 02:17:56
Frame: 41035, Time: 02:17:56
Frame: 41036, Time: 02:17:56
Frame: 41037, Time: 02:17:56
Frame: 41038, Time: 02:17:57
Frame: 41039, Time: 02:17:57
Frame: 41040, Time: 02:17:57
Frame: 41041, Time: 02:17:57
Frame: 41042, Time: 02:17:57
Frame: 41043, Time: 02:17:58
Frame: 41044, Time: 02:17:58
Frame: 41045, Time: 02:17:58
Frame: 41046, Time: 02:17:58
Frame: 41047, Time: 02:17:58
Frame: 41183, Time: 02:18:26
Frame: 41188, Time: 02:18:27
Frame: 41189, Time: 02:18:27
Frame: 41190, Time: 02:18:27
Frame: 41192, Time: 02:18:28
Frame: 41193, Time: 02:18:28
Frame: 41194, Time: 02:18:28
Frame: 41195, Time: 02:18:28
Frame: 41196, Time: 02:18:28
Frame: 41197, Time: 02:18:29
Frame: 41198, Time: 02:18:29
Frame: 41199, Time: 02:18:29
Frame: 41200, Time: 02:18:29
Frame: 41201, Time: 02:18:29
Frame: 41202, Time: 02:18:30
Frame: 41203, Time: 02:18:30
Frame: 41204, Time: 02:18:30
Frame: 41205, Time: 02:18:30
Frame: 41206, Time: 02:18:30
Frame: 41207, Time: 02:18:31
Frame: 41209, Time: 02:18:31
Frame: 41284, Time: 02:18:46
Frame: 41285, Time: 02:18:46
Frame: 41286, Time: 02:18:47
Frame: 41287, Time: 02:18:47
Frame: 41288, Time: 02:18:47
Frame: 41291, Time: 02:18:48
Frame: 42452, Time: 02:22:42
Frame: 42455, Time: 02:22:42
Frame: 43425, Time: 02:25:58
Frame: 43426, Time: 02:25:58
Frame: 43427, Time: 02:25:58
Frame: 43428, Time: 02:25:59
Frame: 43429, Time: 02:25:59
Frame: 43430, Time: 02:25:59
Frame: 43431, Time: 02:25:59
Frame: 43433, Time: 02:26:00
Frame: 43435, Time: 02:26:00
Frame: 43437, Time: 02:26:00
Frame: 43793, Time: 02:27:12
Frame: 43794, Time: 02:27:12
Frame: 43795, Time: 02:27:13
Frame: 43796, Time: 02:27:13
